App name,App Description,Category
City Coach Bus Simulator 2019,"City Coach Bus Simulator 2019 is interesting, exciting and addictive tourist transportation bus driving game that will offer you the chance to become a real bus driver! City and  highway bus simulator provides realistic maps, incredible vehicles and high-quality graphics of real bus simulator that will make you feel like driving a real bus! Get ready to be a public transporter bus driver many passengers will be waiting for you at bus stations and you have to carry them to their destinations in public transport bus simulator. City Coach Bus Simulator 2019 is free bus simulation so enjoy the amazing attractive environment. Heavy coach bus simulator has challenging missions, so improve your driving skills to make sure to get your passengers on time. Features of City Coach Bus Simulator 2019 Game:                                                                                                                                                                     Stunning 3D graphicsSmooth and realistic bus controls
Realistic Bus sound effects
Multiple options to control the coach city bus like tilt, buttons or steering wheel
Wonderful collection of buses
Detailed interiors
Realistic traffic rules
Multiple camera views
Absolutely free to download and enjoy coach city bus simulator game",Travel
Kingdom Rush Vengeance ,"Vez’nan the powerful almighty wizard has returned! Embark on an epic journey as you gather his army and fulfill his devious plans... muahaha. Get ready to show the Kingdom who the real boss is! Fight your way as you conquer the new and the good old realms. Face empires of mighty enemies and clash against supreme bosses in this classic tower defense full of humor and epicness! Features

- 16 new towers, each with unique abilities and special powers.
- Choose your arsenal of towers and make devastating combinations to stop your enemies!
- 16 challenging stages across three lands ripe for the taking!
- 9 powerful heroes who will follow your command without hesitation.
- Over 35 deadly enemies that will put all of your wit and tactical skills to the test.
- Rush the Kingdom as you bring down 3 mighty Kings in the most legendary of boss fights!
- New powers and reinforcements to vanquish your foes.
- 10+ trinkets and artifacts for that extra edge in battle.
- 30 upgrades to train your army to their best form.
- 50+ Achievements, hidden secrets and fun stuff for you to play and discover!
- No Wi-Fi at your Dark Tower? No worries, just play offline!
",Games
One Line - curve drawing,"How skillful are you at connecting dots all in one go without lifting your finger off your screen?
This FREE-TO-PLAY drawing game is a simple brain-training puzzle that's extremely hard to put down!
Find the best pathway to complete a shape, one stroke at a time!",Games
Fire Balls 3D,"Fire Balls 3D is a single-tap hyper casual game that will keep you hooked for hours!
Hold to make your dot fire forward, and be careful from moving obstacles.
The game features unlimited levels and 20 beautiful color themes.",Games
Big city Runner 3D,"Big City Runner is an exciting endless running game. 
If you are a good runner, then this is the best place to Run.
Download it now and start running!",Games
Teen Patti by PockerList,"Welcome to the best 3D Teen Patti game!
Download the game and play with millions of players for free.
Explore the classic Teen Patti gameplay with superior graphics.
Test your skills, beat opponents, and become a pro player now!",Games
Candy bubble shooter 2019,"This is the most classic and amazing bubble shooting or match-three game. It's really simple and addictive,Cool game! you will Love it!
Make combinations of 3 or more Candies to make them burst. Blast all the Candys to level up.",Games
Pocket world VIP: Island of Adventure,"Freedom like you've never seen before in mobile RPGs!
Your character grows up in a town made of blocks, and everything you see is interactive!
Customize your own character, raise him, and dive into charming Pocket World",Games
My city : Dentist visit,"The city is excited, the dentist and his family have moved in! My City : Dentist Visit is where you decide what happens and when. It is your story. Our new game brings lots of exciting new locations to play and explore. Your city will have a local Hair Salon, Supermarket and of course the dentist and his family home ! Think of all the new things you could do within your city all the new locations, clothing and characters. ",Games
Instant big profile Dp,"You think that Instagram profile pictures are too small to recognize the user? Then download InstantBigDp (or you can call instantbigprofile) a simple and lite solution for you.
You only need to to write Instagram username in the box and click search in your keyboard when the picture is displayed click """"DOWNLOAD THIS PICTURE"" and here you have save the Insta big profilephoto for you easy and simple to use.
You can even see the Instagram big profile photo of any private account just follow the same steps and get the photo downloaded by the photo downloader.",Social Networking
Papa's Pancakeria To Go!,"While hunting for your lost pet, you suddenly get a call from Papa Louie with some good news: Your pet was found at Papa's Pancakeria in Maple Mountain, and since your pet likes the restaurant so much, Papa Louie decided to let you run the Pancakeria while he's away! 
You'll be busy multitasking as your customers order fluffy pancakes, golden waffles, warm french toast, and delicious drinks through all seasons of the year. Pour batter onto the griddle, add mixables to the batter, and keep checking back to flip the flapjacks halfway through. Stack their plates high with pancakes, syrups, and toppings that change with each holiday. Add a hot mug of coffee or a refreshing glass of juice to complete the breakfast, and serve the food to your hungry customers. Customers can also place orders by phone, so hire a driver to deliver a hot breakfast right to their doors!",Games
Video Status and Quotes ( videostatus.net ),"Short 30 Seconds videos that you can download to your phone and can watch it anytime offline.
Cute and Beautiful videos that you can share with your friends or can set it up on your WhatsApp Status.
",Entertainment
Premium Stickers For WhatsApp,"Do you also want to share some cool stickers with your friends on WhatsApp ? If yes, then we have the great collection of WhatsApp Stickers ( WAStickerApps ).",Lifestyle
Simple Contacts Pro,"A simple app for creating or managing your contacts from any source. The contacts can be stored on your device only, but also synchronized via Google, or other accounts. You can display your favorite contacts on a separate list.
You can use it for managing user emails and events too. It has the ability to sort/filter by multiple parameters, optionally display surname as the first name.
Contains no ads or unnecessary permissions. It is fully opensource, provides customizable colors.",Productivity
Hey Duggee: The Squirrel Club,"The Squirrel Club app enables fans to create their own squirrels and become part of Duggee’s club!
There’s lots of fun to be had customising your own squirrel. Will you be a penguin, a monkey or a rabbit? What eyes and smile will you choose? And would you like a hat?
Hey Duggee’s Squirrel Club app allows you to create up to four new squirrels before heading to the clubhouse to play games and complete fun activities to earn badges for your collection.
There are 17 badges to collect featuring all your favourite characters from Hey Duggee, including Duggee and the Squirrels, Chew Chew, Hennie, Tino and Mr and Mr Crab!",Entertainment
Teslagrad,"In the Kingdom of Elektropia, a king rules with an iron fist, combating and destroying a sect of technological wizards who have a massive tower in the middle of the city named Teslagrad.
Teslagrad is a 2D puzzle-platformer with action elements where magnetism and other electromagnetic powers are the key to go throughout the game, and thereby discover the secrets kept in the long abandoned Tesla Tower. Embark on an adventure as a young boy armed with ancient Teslamancer technology. Forge your path through the Tesla Tower and overcome the huge variety of challenges and enigmas.
Released first on PC with over 1,6 million copies sold, we’re proud to share with you this experience carefully adapted for mobile devices.",Games
Weather Forecast Pro,"What's the weather today, what's the weather tomorrow and weather for the week? So simple answer for you by downloading our todays weather forecast app, the weather online app that provide realtime todays weather update & long range weather forecast in many days.
Weather forecast live is super accurate forecast app, best of weather forecast apps with local weather, weather map and weather widgets on home screen.
Whether forecast: Current weather forecast now, hourly forecast, today's forecast and daily forecast app in 7 days.
Home screen widgets for android: The weather radar widget free and clock widget weather with beautiful style.
Weather map: Local weather radar app free, radar scope: Rain/snow, temperature, pressure, windy, clouds, humidity, waves, wind map, hurricane … and storm radar, weather satellite.
Weather forecast app gives local forecast & weather forecast world wide, the app provides the current temperature in Celsius and Fahrenheit, sunrise and sunset times according to city time zone.
Its so easy to receive the weather conditions in your current location. Very important fishing weather, storm warning, storm tracker for fishermen to know what is the weather & ocean conditions.",Weather
PathPix Oz,"Classic PathPix puzzles based on 'The Wonderful Wizard of Oz'! Dorothy and Toto, the Cowardly Lion, the Tin Woodman, the Scarecrow and more - all come to life as you solve 148 colorful, giant-sized puzzles based on the original illustrations for Baum's classic story. Over a million squares to solve! Easy, medium, and hard sections in every puzzle. This app includes the entire book for you to read and illustrate by solving puzzles.",Games
 Block Puzzle Games: Wood Collection,"Block Puzzle Games : Wood Collection is the best collection of block puzzles. 
This collection contains different shapes of block puzzle games like Square, Triangle, Hexagon, Rhombus, and Tangram all in one.
'Easy to play' game for all ages.",Games
Word Search: Hidden Words,"This game has multiple categories available on each level, which will keep you searching for more on hours on end!
Add even more excitement to the game by revealing Hidden Word.
Word Search : Hidden Words! is a simple, classic word search game that you can enjoy with your family and friends!",Games
Jio Tv Live Cricket Game,"Jio TV Live Finger Cricket Game- IPL is just a finger cricket game we use to play in our childhood.
Jio TV Live Finger Cricket Game- IPL can be played among your friends when India in playing live on TV.
Jio TV Live Finger Cricket Game- IPL India is famous among kids who love all kind of cricket Test MAtch Odi Match and T20 between different country like INdia Pakistan Bangladesh Srilanka SOuth Africa England Australia and Many Ipl Teams from Mumbai Kolkata Bengaluru or Banglore Hyderabad Delhi Pune Rajasthan Chennai Gujarat.
Jio TV Live Finger Cricket Game- IPL can forget you about live matches and revive your childhood finger cricket memories.",Entertainment
Stickman Hook,"Tap to hook and make incredible jumps; Avoid every obstacle that stands in your way. Can you execute all these acrobatic tricks in a row like a boss?
In this game, embody the spider stickman.
Finish all the levels with the same agility as a spider.",Games
Sky Surfing,"”Sky Surfing"" is a challenging flying game. Slide to dodge obstacles and glide through stone gates. Beat your high score and claim your rewards. Collect every fancy planes you like and challenge the boundary of the sky!",Games
Minecraft Trial,"Minecraft is an open-ended game where you decide what adventure you want to take. Explore infinite worlds* and build everything from the simplest of homes to the grandest of castles. In this free, time-limited trial, you'll get to experience Minecraft in survival mode, where you craft weapons and armor to fend off dangerous mobs. Create, explore and survive!",Games
Find The Differences - Her Secret,"Does she really love him? Or has she been in loved with other people? There are 20 stories waiting for your participation. In these stories, you can experience the fun of finding clues.
Where players must find a set number of differences between two otherwise similar images. ",Games
Flip Bounce,"Flip Bounce is the world’s #1 realistic trampoline game in which you can perform various acrobatics while bouncing on a trampoline. You can master Вackflip, Frontflip, Gainer, Layout and more tricks using simple touches on the screen.
Defy the laws of physics and feel the adrenaline as you are flipping in the air!",Games
World War Rising,"What will history decide about you? A savage warlord or a brave builder, prove your worth to lead epic armies of the most elite troops, vehicles, and aircraft from WWI to the modern era!
Deploy iconic troops against your enemy in this fun, global game of elite strategy! Join and forge alliances to march victorious across the map or stay independent to farm resources and build an epic stronghold. Risk it all for greatness as you play your own style in this fun MMORPG of military strategy!
",Games
Cosmic Showdown," Jump into Cosmic Showdown and take on players from around the world in real-time PVPbattles! Upgrade your units, customize your deck and try new strategies! ",Games
Ice Cream Coloring Game,"Explore the best coloring Game with “Coloring book for Ice Cream Game”. 
Beautifully designed Coloring game packed with more than 40 beautiful pages of Ice Cream. 
A guaranteed fun of long hours for your kid. It has Child friendly interface with a soothing music and voices
Let you be creative by downloading this free game with many pictures of ice cream and ice cream truck and more.
So Simple and intuitive, you will have lots of fun for hours! This educational game will help you to improve skills in problem solving, logical and cognitive skills, concentration and memory. 
Fruits Vegetables Coloring Book helps develop memory skills of everyone. Playing this coloring game will help them improve your recognition while having fun.",Games
"HelloTalk — Chat, Speak & Learn Foreign Languages","HelloTalk, the 1st global language learning and culture exchange community, connects you with native speakers of other languages (English, Japanese, Korean, Spanish, French, Mandarin Chinese, Cantonese, Portuguese, German, Italian, Russian, Arabic, and 100 more) for FREE!",Education
iTranslator - Smart Translator - Voice & Tex,iTranslator - Voice & Text Smart Translate is an awesome translator/traductor and dictionary app. You only need this iTranslator and you can translate everything at everywhere whenever you want.,Productivity
